Course Approval Skills List (Last updated 30 Sept 2025),,
S/N,Skill,Skills Description
1,Accident and Incident Response Management,"Deploy appropriate tools, procedures and resources to respond to aviation inustry accidents and incidents"
2,Agile Coaching,"Formulate and implement Agile coaching frameworks, processes and standards to foster Agile mindset and practices within the organisation and develop Agile teams"
3,Ambulance Readiness and Maintenance,Maintain and manage inventory control and equipment for ambulance and storage area
4,Analytical Method Validation,"Verify analytical methods used to ensure accuracy, validity and reliability of methods"
5,Arrestation,Apply appropriate apprehension techniques on suspects during the committing of unlawful acts
6,Artificial Intelligence Ethics and Governance,"Establish and drive Artificial Intelligence Ethics and Governance frameworks to ensure compliance, manage risks and commercial benefits in product design"
7,Arts Curriculum Design,"Design and develop overall curriculum framework, including learning outcomes, art form specific pedagogy, course content and materials, structure of learning units and activities, assessment criteria, and showcase opportunities."
8,Attractions Content and Experience Development and Delivery,Manage the content development and experience concepts within the attractions site to enhance visitor engagement and experience
9,Attractions Guest Relations Management,"Manage guest relations strategies and policies to enhance on-site guest experience, including the management of special guest requests, requirements and needs"
10,"Attractions Membership, Admission and Ticketing Management","Manage membership, admission and ticketing operations within the attractions sites, including the implementation of these policies at the frontline guest-servicing counters"
11,Audio Programming,Develop programs to implement interactive sound and sound effects within electronic games
12,Audit Compliance,Ensure compliance with corporate policies and guidelines
13,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements
14,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities
15,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised"
16,Ballast System Design,"Design ballast systems for ships, rigs and/or conversions by interpreting trim and stability tables and applying principles of fluid dynamics, pumping and piping systems, in compliance with regulations"
17,Behavioural Economics in Design,"Examine psychological, behavioural, emotional and social factors to uncover insights on how people behave and make decisions"
18,Billing Procedure,Perform and manage billing procedures and finance-related activities
19,Bulk Cargo Operations,Perform loading and unloading of bulk cargo
20,Bus Fare Management,Operate bus fare collection equipment to collect bus fares and maintain bus fare policy
21,Bus Garaging,"Restore buses through garaging activities at the depot, which include refuelling, conducting bus inspections, parking buses, and managing coin boxes, to ensure organisational standards and bus service regulatory requirements are met"
22,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements
23,Business Requirements Mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed
24,Call Centre Management,Implement and manage call centre operations to address queries and needs of customers
25,Cargo and Receipt Inspection,"Process the receipt of air-freight in accordance with established guidelines, Standard Operating Procedures (SOPs) and IATA regulations"
26,Cargo Issuance and Dispatch,Maintain conditions and stipulated requirements for compliance before issuance and dispatch of imported cargo
27,Case and Care Planning,Use different models and approaches for developing case and care plans to support clients' needs in accordance to organisational practices
28,Casework Evaluation,Evaluate effectiveness and efficiency of casework interventions
29,Category Management,"Establish category management principles to identify trends, opportunities and risks, as well as monitor and manage internal systems to evaluate level of spending"
30,Category Marketing,"Prioritise key marketing activities to support category strategies, as well as evaluate sales reports to make improvements in marketing support activities"
31,Channel Management,Manage new and existing distribution channels for financial services products and services to ensure channel performance and effectiveness
32,Civil Structure Maintenance,Implement preventive and corrective maintenance of civil structures
33,Client Assessment for Occupational Therapy,"Select, apply and interpret assessment methods and tools appropriate to individuals and/or groups"
34,Client Assessment for Physiotherapy,Select and apply assessment methods and tools appropriate for clients and interpret findings
35,Client Assessment for Speech Therapy,Select and apply assessment methods and tools appropriate for clients and interpret findings
36,Clinical Governance,Establish clinical frameworks for professional practice to ensure alignment with regulatory frameworks and organisational objectives
37,Clinical Supervision,"Support the professional development of counsellors in advancing therapeutic, casework and counselling skills, and maintaining high standards of professional practice through a myriad of supervisory modalities and models by providing a supportive learning environment for supervisees"
38,Commodities Trading Management,Perform physical trades by monitoring and assessing the commodities markets to identify market-making opportunities
39,Common Data Environment Management,Implement Common Data Environment (CDE) to improve the management of data and information to facilitate decision making and increase the efficiency of project delivery
40,Communication and Navigation System Design,Design navigation and communication systems in compliance with international regulations
41,Computer-aided Design,"Use computer-aided design software and tools to design products, components and parts for manufacture"
42,Computerised Systems Validation,Commission computerised systems for use in biopharmaceuticals manufacturing facilities
43,Condition Monitoring,Perform condition monitoring and evaluate the effectiveness of preventive and predictive maintenance strategies
44,Condition-based Monitoring,Formulate and implement condition-based maintenance procedures to enhance organisation maintenance regimes and operational reliability.
45,Conflict Management,Build consensus and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively and maintain the best interests of the organisation
46,Content Acquisition Management,"Plan, facilitate and conduct activities to acquire content that meets the commercial objectives of the organisation"
47,Content Commissioning,Commission content producers to develop content for the organisation and oversee commissioned projects in order to meet the creative and commercial objectives of the organisation
48,Content Development and Strategy,"Brainstorm, ideate and utilise writing strategies and plans to maximise user engagement"
49,Content Distribution,"Conceptualise, drive and execute strategies and activities to promulgate inter-operable and cross-platform distribution of media content to maximise reach and profitability for the organisation"
50,Contract Administration and Management,"Develop contracts to determine suitable conditions of contract, and optimise the contract administration and management process taking into consideration the nature of the project"
51,Contract and Vendor Management,"Manage relationships with cast, crew, vendors and clients by establishing formal contracts and evaluating performance against established expectations"
